Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
6/1/12,208.440002,211.229996,207.300003,208.220001,208.220001,3951500,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,
6/4/12,207.399994,215.350006,206.369995,214.570007,214.570007,4299600,#N/A,#N/A,#N/A,6.350006,3.049661881,6.350006,0,,,,,8.980011,4.12001,0,,,,,,,,,
6/5/12,213.850006,216.860001,211.160004,213.210007,213.210007,3543900,#N/A,#N/A,#N/A,-1.36,-0.63382577,0,1.36,,,,,5.699997,1.509995,0,,,,,,,,,
6/6/12,214.630005,218.399994,214.520004,217.639999,217.639999,2710100,#N/A,#N/A,#N/A,4.429992,2.077759887,4.429992,0,,,,,5.189987,1.539993,0,,,,,,,,,
6/7/12,219.649994,221.490005,218.110001,218.800003,218.800003,3503900,#N/A,#N/A,#N/A,1.160004,0.532992099,1.160004,0,,,,,3.850006,3.090011,0,,,,,,,,,
6/8/12,218.610001,219.419998,216.660004,218.479996,218.479996,2877000,#N/A,#N/A,#N/A,-0.320007,-0.146255482,0,0.320007,,,,,2.759994,0,1.449997,,,,,,,,,
6/11/12,217.490005,220.869995,215.199997,216.5,216.5,3749100,215.3457161,#N/A,#N/A,-1.979996,-0.906259628,0,1.979996,,,,,5.669998,0,1.460007,,,,,,,,,
6/12/12,217.649994,218,214.520004,216.419998,216.419998,2833300,216.5171443,#N/A,#N/A,-0.080002,-0.036952425,0,0.080002,,,,,3.479996,0,0.679993,,,,,,,,,
6/13/12,215.520004,217.380005,213.520004,214.729996,214.729996,2325200,216.5399999,#N/A,#N/A,-1.690002,-0.780889943,0,1.690002,,,,,3.860001,0,1,,,,,,,,,
6/14/12,215.259995,216.5,212.559998,214.449997,214.449997,3060900,216.7171413,#N/A,#N/A,-0.279999,-0.130395848,0,0.279999,,,,,3.940002,0,0.960006,,,,,,,,,
