AMZN_unscaled,AMZN_monthly,scale,AMZN
3,7.0,0.07,0.21000000000000002
19,7.0,0.07,1.33
28,7.0,0.07,1.9600000000000002
28,7.0,0.07,1.9600000000000002
31,7.0,0.07,2.1700000000000004
34,7.0,0.07,2.3800000000000003
13,7.0,0.07,0.9100000000000001
8,7.0,0.07,0.56
24,7.0,0.07,1.6800000000000002
43,7.0,0.07,3.0100000000000002
17,7.0,0.07,1.1900000000000002
24,7.0,0.07,1.6800000000000002
22,7.0,0.07,1.54
0,7.0,0.07,0.0
3,7.0,0.07,0.21000000000000002
4,7.0,0.07,0.28
23,7.0,0.07,1.61
23,7.0,0.07,1.61
40,7.0,0.07,2.8000000000000003
28,7.0,0.07,1.9600000000000002
13,7.0,0.07,0.9100000000000001
8,7.0,0.07,0.56
29,7.0,0.07,2.0300000000000002
34,7.0,0.07,2.3800000000000003
30,7.0,0.07,2.1
40,7.0,0.07,2.8000000000000003
30,7.0,0.07,2.1
10,7.0,0.07,0.7000000000000001
13,7.0,0.07,0.9100000000000001
44,7.0,0.07,3.08
100,7.0,0.07,7.000000000000001
100,9.0,0.09,9.0
36,9.0,0.09,3.2399999999999998
29,9.0,0.09,2.61
15,9.0,0.09,1.3499999999999999
3,9.0,0.09,0.27
20,9.0,0.09,1.7999999999999998
17,9.0,0.09,1.53
16,9.0,0.09,1.44
22,9.0,0.09,1.98
16,9.0,0.09,1.44
4,9.0,0.09,0.36
2,9.0,0.09,0.18
19,9.0,0.09,1.71
18,9.0,0.09,1.6199999999999999
23,9.0,0.09,2.07
25,9.0,0.09,2.25
14,9.0,0.09,1.26
9,9.0,0.09,0.8099999999999999
6,9.0,0.09,0.54
7,9.0,0.09,0.63
12,9.0,0.09,1.08
17,9.0,0.09,1.53
9,9.0,0.09,0.8099999999999999
13,9.0,0.09,1.17
4,9.0,0.09,0.36
0,9.0,0.09,0.0
10,9.0,0.09,0.8999999999999999
19,9.0,0.09,1.71
15,9.0,0.09,1.3499999999999999
44,6.0,0.06,2.6399999999999997
51,6.0,0.06,3.06
9,6.0,0.06,0.54
13,6.0,0.06,0.78
47,6.0,0.06,2.82
39,6.0,0.06,2.34
37,6.0,0.06,2.2199999999999998
88,6.0,0.06,5.279999999999999
50,6.0,0.06,3.0
11,6.0,0.06,0.6599999999999999
6,6.0,0.06,0.36
35,6.0,0.06,2.1
39,6.0,0.06,2.34
52,6.0,0.06,3.12
47,6.0,0.06,2.82
58,6.0,0.06,3.48
9,6.0,0.06,0.54
12,6.0,0.06,0.72
39,6.0,0.06,2.34
60,6.0,0.06,3.5999999999999996
72,6.0,0.06,4.32
47,6.0,0.06,2.82
54,6.0,0.06,3.2399999999999998
27,6.0,0.06,1.6199999999999999
12,6.0,0.06,0.72
70,6.0,0.06,4.2
100,6.0,0.06,6.0
69,6.0,0.06,4.14
49,6.0,0.06,2.94
95,6.0,0.06,5.7
22,6.0,0.06,1.3199999999999998
5,9.0,0.09,0.44999999999999996
12,9.0,0.09,1.08
11,9.0,0.09,0.99
15,9.0,0.09,1.3499999999999999
16,9.0,0.09,1.44
13,9.0,0.09,1.17
3,9.0,0.09,0.27
0,9.0,0.09,0.0
8,9.0,0.09,0.72
17,9.0,0.09,1.53
13,9.0,0.09,1.17
17,9.0,0.09,1.53
15,9.0,0.09,1.3499999999999999
3,9.0,0.09,0.27
7,9.0,0.09,0.63
17,9.0,0.09,1.53
8,9.0,0.09,0.72
12,9.0,0.09,1.08
15,9.0,0.09,1.3499999999999999
14,9.0,0.09,1.26
0,9.0,0.09,0.0
2,9.0,0.09,0.18
17,9.0,0.09,1.53
18,9.0,0.09,1.6199999999999999
5,9.0,0.09,0.44999999999999996
71,9.0,0.09,6.39
100,9.0,0.09,9.0
18,9.0,0.09,1.6199999999999999
10,9.0,0.09,0.8999999999999999
38,9.0,0.09,3.42
74,6.0,0.06,4.4399999999999995
100,6.0,0.06,6.0
85,6.0,0.06,5.1
55,6.0,0.06,3.3
22,6.0,0.06,1.3199999999999998
17,6.0,0.06,1.02
61,6.0,0.06,3.6599999999999997
38,6.0,0.06,2.28
35,6.0,0.06,2.1
71,6.0,0.06,4.26
80,6.0,0.06,4.8
0,6.0,0.06,0.0
6,6.0,0.06,0.36
26,6.0,0.06,1.56
57,6.0,0.06,3.42
44,6.0,0.06,2.6399999999999997
36,6.0,0.06,2.16
77,6.0,0.06,4.62
18,6.0,0.06,1.08
0,6.0,0.06,0.0
27,6.0,0.06,1.6199999999999999
53,6.0,0.06,3.1799999999999997
44,6.0,0.06,2.6399999999999997
36,6.0,0.06,2.16
34,6.0,0.06,2.04
6,6.0,0.06,0.36
6,6.0,0.06,0.36
11,6.0,0.06,0.6599999999999999
67,6.0,0.06,4.02
44,6.0,0.06,2.6399999999999997
18,6.0,0.06,1.08
100,4.0,0.04,4.0
31,4.0,0.04,1.24
42,4.0,0.04,1.68
52,4.0,0.04,2.08
88,4.0,0.04,3.52
65,4.0,0.04,2.6
54,4.0,0.04,2.16
78,4.0,0.04,3.12
26,4.0,0.04,1.04
32,4.0,0.04,1.28
86,4.0,0.04,3.44
56,4.0,0.04,2.24
57,4.0,0.04,2.2800000000000002
63,4.0,0.04,2.52
70,4.0,0.04,2.8000000000000003
21,4.0,0.04,0.84
54,4.0,0.04,2.16
